ID,Mass,Height,Landing Limbs,Trial No,Hip Flexion ROM,Knee Flexion ROM,Ankle Flexion ROM,Hip Flexion at Contact,Knee Flexion at Contact,Ankle Flexion at Contact,RXF,RXF_R,JCF,JCF_R,RXF_FE_FFT,JCF_FE_FFT,RXF_FFT,JCF_FFT,RXF_FE,JCF_FE,RXF_SMR,JCF_SMR,DIS,IMU_FFT
3,52,6.000000000e-01,2,14,8.031744200e+01,1.028473770e+02,5.248243700e+01,2.372332800e+01,-1.033893200e+01,-1.038107600e+01,2.568212734e+00,1.374233129e+02,6.865406947e+00,1.124122807e+02,4.079651628e-04,1.204734495e-03,9.644737051e+01,2.848122457e+02,5.541610959e-03,1.481396532e-02,7.615465370e-01,1.665271628e+00,30,2402.192808988202
3,52,6.000000000e-01,1,15,5.411844200e+01,8.707620700e+01,6.150008900e+01,2.381961900e+01,-7.185017000e+00,-1.723689900e+01,3.321586519e+00,1.459311676e+02,1.127132172e+01,1.728486946e+02,6.236150424e-04,1.988401374e-03,1.474293311e+02,4.700795596e+02,7.167217889e-03,2.432091358e-02,1.045920475e+00,4.203838162e+00,31,2449.9312625198622
4,61,2.000000000e-01,1,1,1.971819300e+01,4.583364800e+01,4.820311700e+01,2.765387200e+01,-4.923230100e+01,4.685360000e-01,2.315863396e+00,6.909890142e+01,1.202994478e+01,1.892890624e+02,3.817057866e-04,1.899510877e-03,1.114618304e+02,5.546757912e+02,4.745853786e-03,2.465273171e-02,3.279332830e-01,4.666492470e+00,17,1639.360135049492
4,61,2.000000000e-01,2,1,2.518998400e+01,7.064228700e+01,4.272895100e+01,2.908201300e+01,-4.657096900e+01,-1.140640700e+01,1.620859508e+00,3.074080931e+01,9.006409204e+00,1.421263677e+02,2.551324574e-04,1.391323250e-03,7.450117786e+01,4.062800240e+02,3.321595844e-03,1.845665910e-02,1.021085444e-01,2.623177918e+00,21,1913.3409172137528
4,61,2.000000000e-01,2,2,3.521258400e+01,7.120859200e+01,4.368604700e+01,3.199435800e+01,-5.702749300e+01,-5.624891000e+00,1.383967604e+00,2.965815227e+01,8.442694059e+00,1.042342846e+02,2.143111628e-04,1.170313366e-03,6.258095979e+01,3.417429718e+02,2.836137876e-03,1.730144862e-02,8.411460899e-02,1.803404120e+00,10,1203.1369463517947
4,61,2.000000000e-01,1,3,1.949471900e+01,4.329787700e+01,4.516821000e+01,2.696237000e+01,-4.853130100e+01,3.133908000e+00,2.398334346e+00,8.151942581e+01,1.259066935e+01,1.961639630e+02,3.814072115e-04,1.832957987e-03,1.113746436e+02,5.352416952e+02,4.914859899e-03,2.580181365e-02,4.006565569e-01,5.061386017e+00,4,898.6193825329644
4,61,2.000000000e-01,2,3,2.708050000e+01,6.796436600e+01,4.235798200e+01,3.326355700e+01,-5.381349000e+01,-7.827909000e+00,1.406187231e+00,3.477851874e+01,8.227867806e+00,1.135643014e+02,2.056849999e-04,1.146796293e-03,6.006203570e+01,3.348757563e+02,2.881672125e-03,1.686120936e-02,1.002202880e-01,1.914831462e+00,16,1550.0916439334082
4,61,4.000000000e-01,2,4,5.059230600e+01,8.670830800e+01,5.194037800e+01,4.548944200e+01,-4.577095500e+01,-1.413757500e+01,1.331328211e+00,3.321654869e+01,9.439247600e+00,9.831733802e+01,2.531364589e-04,1.363330882e-03,7.391832674e+01,3.981059783e+02,2.728264993e-03,1.934366640e-02,9.062354698e-02,1.901817788e+00,17,1667.8746516192814
4,61,4.000000000e-01,1,5,3.145888100e+01,4.810487400e+01,5.724234000e+01,5.620349200e+01,-5.657764700e+01,-9.082898000e+00,2.398851667e+00,7.561990258e+01,1.218518009e+01,1.937946155e+02,4.015935946e-04,2.016006284e-03,1.172692653e+02,5.886935919e+02,4.915920034e-03,2.497085242e-02,3.717413941e-01,4.839216743e+00,6,1066.8981483376888
4,61,4.000000000e-01,2,5,4.530099400e+01,8.336455600e+01,4.732487400e+01,5.291390600e+01,-7.967955300e+01,8.542885000e+00,1.386080849e+00,4.470341488e+01,8.058569115e+00,9.962983585e+01,2.493717901e-04,1.400862328e-03,7.281900656e+01,4.090655281e+02,2.840468508e-03,1.651426885e-02,1.269786422e-01,1.645313895e+00,20,1806.6582215750684
